iter	Passed	Remaining
0	26	7781
1	42	6368
2	58	5814
3	76	5653
4	95	5638
5	114	5603
6	131	5521
7	149	5450
8	164	5317
9	182	5296
10	200	5276
11	218	5255
12	238	5275
13	261	5349
14	281	5347
15	302	5367
16	322	5368
17	340	5330
18	355	5263
19	376	5265
20	393	5232
21	412	5211
22	434	5227
23	455	5241
24	474	5224
25	495	5226
26	517	5234
27	535	5203
28	553	5168
29	575	5175
30	596	5172
31	617	5171
32	638	5163
33	658	5153
34	679	5144
35	700	5139
36	721	5126
37	742	5118
38	759	5079
39	775	5043
40	795	5024
41	816	5015
42	834	4988
43	854	4974
44	876	4968
45	897	4957
46	918	4942
47	935	4913
48	956	4900
49	977	4888
50	995	4862
51	1018	4855
52	1039	4846
53	1060	4832
54	1084	4829
55	1107	4827
56	1130	4820
57	1152	4810
58	1176	4806
59	1199	4799
60	1224	4795
61	1248	4790
62	1273	4792
63	1296	4780
64	1318	4768
65	1342	4759
66	1367	4755
67	1388	4738
68	1412	4728
69	1435	4718
70	1461	4712
71	1482	4695
72	1506	4684
73	1529	4670
74	1557	4671
75	1585	4673
76	1612	4669
77	1638	4664
78	1662	4651
79	1692	4655
80	1719	4647
81	1742	4633
82	1778	4648
83	1804	4640
84	1831	4631
85	1853	4612
86	1874	4589
87	1899	4576
88	1923	4559
89	1947	4544
90	1971	4527
91	1996	4513
92	2019	4494
93	2048	4490
94	2071	4469
95	2096	4454
96	2119	4435
97	2141	4413
98	2165	4395
99	2188	4377
100	2212	4359
101	2235	4338
102	2259	4320
103	2283	4303
104	2307	4285
105	2332	4269
106	2355	4248
107	2381	4233
108	2406	4217
109	2432	4201
110	2456	4182
111	2481	4165
112	2504	4144
113	2528	4125
114	2553	4107
115	2576	4086
116	2601	4068
117	2624	4048
118	2650	4031
119	2676	4015
120	2700	3995
121	2723	3973
122	2748	3955
123	2772	3935
124	2795	3913
125	2817	3890
126	2840	3869
127	2864	3849
128	2887	3827
129	2910	3805
130	2933	3784
131	2959	3766
132	2981	3743
133	3004	3722
134	3028	3701
135	3050	3678
136	3073	3657
137	3096	3635
138	3119	3612
139	3141	3590
140	3166	3570
141	3187	3547
142	3211	3526
143	3234	3504
144	3257	3481
145	3281	3460
146	3303	3438
147	3326	3416
148	3349	3394
149	3372	3372
150	3396	3351
151	3420	3330
152	3446	3311
153	3469	3289
154	3492	3266
155	3516	3246
156	3540	3224
157	3564	3203
158	3589	3183
159	3614	3162
160	3637	3140
161	3660	3118
162	3686	3098
163	3709	3076
164	3734	3055
165	3758	3034
166	3782	3012
167	3805	2990
168	3828	2967
169	3853	2946
170	3878	2925
171	3902	2904
172	3928	2883
173	3952	2862
174	3976	2840
175	3999	2817
176	4023	2796
177	4046	2773
178	4071	2752
179	4097	2731
180	4122	2710
181	4146	2688
182	4171	2666
183	4194	2644
184	4218	2622
185	4240	2599
186	4265	2577
187	4289	2555
188	4313	2533
189	4336	2510
190	4358	2487
191	4382	2465
192	4412	2446
193	4440	2426
194	4469	2406
195	4497	2386
196	4527	2366
197	4554	2346
198	4584	2326
199	4611	2305
200	4638	2284
201	4668	2264
202	4698	2244
203	4727	2224
204	4758	2204
205	4787	2184
206	4815	2163
207	4842	2141
208	4872	2121
209	4902	2101
210	4932	2080
211	4960	2059
212	4991	2038
213	5017	2016
214	5040	1992
215	5063	1968
216	5093	1948
217	5116	1924
218	5141	1901
219	5167	1879
220	5190	1855
221	5215	1832
222	5237	1808
223	5261	1785
224	5284	1761
225	5306	1737
226	5329	1713
227	5353	1690
228	5378	1667
229	5402	1644
230	5430	1622
231	5456	1599
232	5478	1575
233	5502	1552
234	5525	1528
235	5549	1504
236	5574	1481
237	5598	1458
238	5622	1435
239	5646	1411
240	5672	1388
241	5701	1366
242	5729	1343
243	5756	1321
244	5784	1298
245	5811	1275
246	5837	1252
247	5865	1229
248	5893	1207
249	5917	1183
250	5942	1160
251	5965	1136
252	5991	1112
253	6016	1089
254	6040	1065
255	6065	1042
256	6091	1019
257	6114	995
258	6139	971
259	6163	948
260	6187	924
261	6211	900
262	6236	877
263	6260	853
264	6284	830
265	6309	806
266	6334	782
267	6360	759
268	6384	735
269	6407	711
270	6431	688
271	6454	664
272	6478	640
273	6501	616
274	6529	593
275	6555	570
276	6579	546
277	6604	522
278	6627	498
279	6652	475
280	6676	451
281	6699	427
282	6724	403
283	6750	380
284	6774	356
285	6796	332
286	6818	308
287	6840	285
288	6862	261
289	6884	237
290	6905	213
291	6927	189
292	6947	165
293	6968	142
294	6989	118
295	7010	94
296	7031	71
297	7052	47
298	7074	23
299	7095	0
