iter	Logloss
0	0.6083454095
1	0.546593648
2	0.5135786372
3	0.482292977
4	0.4554426093
5	0.4383458787
6	0.4169427646
7	0.4038762907
8	0.397586228
9	0.3920299148
10	0.3878343868
11	0.3847739404
12	0.3819561346
13	0.3764331671
14	0.3714110685
15	0.3647168053
16	0.3602014634
17	0.355469609
18	0.3527893524
19	0.3495759841
20	0.3474914357
21	0.3446082033
22	0.3430338059
23	0.3402920566
24	0.3395338542
25	0.3373052606
26	0.3348797563
27	0.3337213232
28	0.3332784305
29	0.331400134
30	0.3309403238
31	0.3293527934
32	0.3276759295
33	0.3260405656
34	0.3246896752
35	0.3231141944
36	0.3218741801
37	0.3207256241
38	0.3193731718
39	0.3186274846
40	0.3175051616
41	0.3166101987
42	0.3150353946
43	0.3141757926
44	0.3127499249
45	0.3117392242
46	0.310649009
47	0.3099826917
48	0.3093052981
49	0.3087117837
50	0.3081710465
51	0.3071691366
52	0.3065361528
53	0.3056205181
54	0.3046414359
55	0.3034688376
56	0.3029111307
57	0.3024345841
58	0.3012197307
59	0.3008018379
60	0.3000941703
61	0.299075847
62	0.2974640975
63	0.2968420791
64	0.2964945924
65	0.2956738877
66	0.2946162635
67	0.2937414055
68	0.2930245571
69	0.292510134
70	0.291321958
71	0.2903788638
72	0.2895744678
73	0.2888182171
74	0.2881980926
75	0.2872803135
76	0.2867159886
77	0.2861275801
78	0.2854368589
79	0.2848163383
80	0.2845752983
81	0.2840093206
82	0.2832572825
83	0.2826240091
84	0.2823423387
85	0.2817470685
86	0.2813315503
87	0.2803643585
88	0.2797900085
89	0.279500264
90	0.2793524212
91	0.2786584959
92	0.2780379723
93	0.2775389494
94	0.2770910774
95	0.2765440596
96	0.2761492684
97	0.2756962512
98	0.2746790683
99	0.2743403868
100	0.2738777648
101	0.2733549079
102	0.2726759003
103	0.2720523474
104	0.2716434345
105	0.2711295123
106	0.2704682398
107	0.2698394379
108	0.269346986
109	0.2690365693
110	0.2687713914
111	0.268267414
112	0.26798949
113	0.267558224
114	0.2670000225
115	0.2664754206
116	0.2660479915
117	0.2652668152
118	0.2643549738
119	0.264034266
120	0.2635681482
121	0.2631675701
122	0.2627418929
123	0.2619223846
124	0.2615747283
125	0.2610703835
126	0.2608288536
127	0.2605332491
128	0.2601225513
129	0.2595068002
130	0.2590970842
131	0.2586370594
132	0.258385945
133	0.2580356253
134	0.257598644
135	0.2570816213
136	0.2566790634
137	0.2563072692
138	0.2557890822
139	0.2554411658
140	0.2552260909
141	0.2550617876
142	0.2546284432
143	0.2542324799
144	0.2539718134
145	0.2538021696
146	0.2532935288
147	0.252800472
148	0.2525909314
149	0.2524181656
150	0.2519559269
151	0.2516444828
152	0.2513269522
153	0.2511278515
154	0.2508064373
155	0.2504700234
156	0.2500477741
157	0.2497918297
158	0.2495952584
159	0.2491983935
160	0.2489995917
161	0.2487944463
162	0.2484541863
163	0.2476652421
164	0.2474007533
165	0.2470116746
166	0.2464151712
167	0.2462435158
168	0.2461577614
169	0.2459070455
170	0.2455801599
171	0.2452135105
172	0.2447917437
173	0.244487125
174	0.2443010144
175	0.2440276134
176	0.2439062027
177	0.2435399235
178	0.243210682
179	0.2429964753
180	0.2425988196
181	0.2423518982
182	0.2421921542
183	0.2419823833
184	0.2417678684
185	0.2412740167
186	0.2410056281
187	0.2406961773
188	0.2403661229
189	0.2400661127
190	0.2397277131
191	0.2394396964
192	0.239062433
193	0.23878899
194	0.2382968116
195	0.2380969366
196	0.23800263
197	0.2377909044
198	0.2374834689
199	0.2373651868
200	0.2371778824
201	0.236892114
202	0.236804462
203	0.2367106118
204	0.236596228
205	0.2364192836
206	0.2363401643
207	0.2360993545
208	0.2358200939
209	0.2355268236
210	0.2353217033
211	0.2350622557
212	0.2349729539
213	0.2347390545
214	0.2345866176
215	0.2341454004
216	0.234024931
217	0.2339033462
218	0.2336930501
219	0.233188608
220	0.2329306259
221	0.2324618435
222	0.23220672
223	0.2319486454
224	0.2317105468
225	0.2315595024
226	0.231459333
227	0.2313901316
228	0.2311220692
229	0.2309683674
230	0.2309071229
231	0.230638415
232	0.2303625719
233	0.2302040029
234	0.2300180249
235	0.2297981852
236	0.2296008695
237	0.2294534351
238	0.2293756624
239	0.2290497281
240	0.2289108831
241	0.2286647002
242	0.2283057421
243	0.2280988633
244	0.2277152611
245	0.2275100627
246	0.2272463242
247	0.2271702773
248	0.2270615259
249	0.226994606
250	0.2266058769
251	0.2262895984
252	0.2262481709
253	0.2260390345
254	0.225728568
255	0.2254642464
256	0.2253198724
257	0.2251032009
258	0.2250539143
259	0.2249842042
260	0.2248555332
261	0.2247234992
262	0.2244428556
263	0.2243942883
264	0.2242431887
265	0.2241177865
266	0.2239514529
267	0.2238345583
268	0.2236341054
269	0.2233714731
270	0.2232041775
271	0.2230287249
272	0.2228444547
273	0.2226831172
274	0.2225122332
275	0.2224075907
276	0.2223167005
277	0.2221243581
278	0.2219324918
279	0.2217724066
280	0.2216892284
281	0.2215655419
282	0.2214190937
283	0.2210885255
284	0.2208701091
285	0.2206433006
286	0.2204395701
287	0.2203752031
288	0.2203188113
289	0.2201940965
290	0.2201034309
291	0.2198912431
292	0.2196962618
293	0.2193178641
294	0.2191910529
295	0.2188966857
296	0.2187763116
297	0.2183916624
298	0.2181866125
299	0.2181109616
