iter	Passed	Remaining
0	4	1450
1	8	1303
2	13	1305
3	17	1276
4	21	1246
5	24	1205
6	28	1188
7	32	1183
8	36	1179
9	40	1167
10	43	1155
11	47	1140
12	50	1123
13	54	1114
14	58	1108
15	62	1103
16	66	1099
17	69	1091
18	73	1087
19	77	1084
20	81	1083
21	85	1080
22	89	1076
23	93	1076
24	96	1066
25	100	1058
26	104	1054
27	108	1050
28	111	1044
29	115	1039
30	119	1036
31	122	1029
32	127	1028
33	130	1021
34	134	1015
35	138	1012
36	141	1006
37	145	1000
38	149	997
39	152	994
40	156	990
41	160	986
42	164	985
43	168	979
44	172	977
45	176	973
46	180	969
47	183	964
48	187	960
49	191	955
50	194	949
51	197	943
52	201	938
53	205	934
54	208	929
55	212	927
56	216	922
57	220	918
58	224	916
59	228	914
60	232	910
61	236	906
62	239	902
63	243	898
64	247	894
65	251	891
66	255	887
67	259	884
68	263	881
69	266	876
70	270	871
71	274	867
72	277	863
73	281	859
74	284	854
75	288	850
76	292	846
77	295	842
78	299	837
79	303	833
80	307	830
81	310	826
82	314	821
83	318	817
84	321	813
85	325	808
86	328	804
87	332	800
88	336	797
89	340	793
90	343	788
91	347	784
92	351	781
93	354	777
94	358	773
95	362	769
96	365	765
97	369	762
98	373	758
99	377	754
100	381	750
101	384	746
102	388	742
103	391	738
104	395	734
105	399	730
106	402	726
107	406	722
108	410	719
109	414	715
110	417	710
111	421	706
112	424	702
113	428	698
114	431	694
115	435	690
116	439	686
117	443	683
118	446	679
119	450	675
120	454	671
121	457	667
122	461	664
123	465	660
124	468	656
125	472	652
126	476	648
127	480	645
128	483	641
129	487	637
130	491	633
131	494	629
132	498	625
133	501	621
134	505	617
135	509	614
136	512	610
137	516	606
138	520	602
139	524	599
140	528	596
141	532	592
142	536	588
143	539	584
144	543	580
145	546	576
146	550	573
147	554	569
148	557	565
149	561	561
150	565	557
151	569	554
152	572	550
153	576	546
154	580	542
155	583	538
156	587	534
157	590	530
158	594	527
159	598	523
160	601	519
161	605	515
162	608	511
163	612	508
164	616	504
165	620	500
166	623	496
167	627	493
168	631	489
169	634	485
170	638	481
171	641	477
172	645	473
173	648	469
174	652	466
175	656	462
176	659	458
177	663	454
178	667	450
179	670	447
180	674	443
181	678	439
182	681	435
183	685	432
184	689	428
185	693	424
186	696	420
187	700	417
188	703	413
189	707	409
190	711	405
191	714	401
192	718	398
193	722	394
194	726	390
195	729	387
196	733	383
197	737	380
198	741	376
199	745	372
200	749	369
201	753	365
202	757	361
203	761	358
204	764	354
205	768	350
206	772	346
207	775	343
208	779	339
209	783	335
210	787	332
211	791	328
212	795	325
213	800	321
214	804	318
215	808	314
216	812	310
217	816	307
218	820	303
219	824	299
220	828	296
221	831	292
222	835	288
223	839	284
224	843	281
225	847	277
226	851	273
227	854	269
228	858	266
229	862	262
230	866	258
231	870	255
232	874	251
233	878	247
234	881	243
235	885	240
236	889	236
237	893	232
238	897	228
239	900	225
240	904	221
241	908	217
242	912	214
243	916	210
244	920	206
245	924	202
246	927	199
247	931	195
248	935	191
249	939	187
250	943	184
251	946	180
252	950	176
253	954	172
254	958	169
255	962	165
256	966	161
257	970	157
258	973	154
259	977	150
260	981	146
261	985	142
262	989	139
263	992	135
264	996	131
265	1000	127
266	1004	124
267	1008	120
268	1012	116
269	1016	112
270	1020	109
271	1024	105
272	1028	101
273	1032	97
274	1036	94
275	1039	90
276	1043	86
277	1047	82
278	1051	79
279	1055	75
280	1059	71
281	1063	67
282	1066	64
283	1070	60
284	1074	56
285	1078	52
286	1082	49
287	1085	45
288	1089	41
289	1093	37
290	1097	33
291	1100	30
292	1104	26
293	1108	22
294	1112	18
295	1116	15
296	1120	11
297	1124	7
298	1128	3
299	1131	0
